,geometry,cartodb_id,objectid,permitnumber,addressobjectid,parcel_id_num,permittype,permitdescription,commercialorresidential,typeofwork,approvedscopeofwork,permitissuedate,status,applicanttype,contractorname,contractoraddress1,contractoraddress2,contractorcity,contractorstate,contractorzip,mostrecentinsp,opa_account_num,address,unit_type,unit_num,zip,censustract,council_district,opa_owner,systemofrecord,geocode_x,geocode_y,posse_jobid
286,POINT (-75.172445 39.894865),567540,566255,1002429,764632,997569,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,SITE,SITE WORK AS PER APPROVED PLANS. SEPARATE PERMIT REQUIRED FOR ANY ELECTRICAL AND PLUMBING WORK.,2019-08-26T12:24:53Z,COMPLETED,CONTRACTOR,TORCON INC,328 NEWMAN SPRINGS RD,,RED BANK,NJ,07701-    ,2019-11-04T15:38:00Z,883813700,150 ROUSE BLVD,,,19112-0000,50,2,L/S 100 DIAGONAL BLVD,HANSEN,2691643.61872923,215112.54292546,
287,POINT (-75.121208 39.986448),567899,565172,940531,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A FOUR (4) STORY,  ATTACHED STRUCTURE (DUPLEX - TYPE A) WITH A ROOF DECK AND PILOT HOUSE.  STRUCTURE FOR USE AS TWO FAMILY DWELLING .  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13R MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T09:59:36Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2020-01-09T14:27:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
288,POINT (-75.21117099999999 40.025404),575008,581542,803014,767711,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF A DETACHED BUILDING; SIZE & LOCATION AS SHOWN IN PLANS WITH LOWER BUILDING HEIGHTS AT PROPOSED UNITS 1 & 10,2019-10-28T14:25:35Z,COMPLETED,CONTRACTOR,ROCK CONSTRUCTION AND DEV LLC,"2110 S EAGLE RD, #390",,NEWTOWN,PA,18940-    ,2020-01-08T14:40:00Z,212040448,448 KINGSLEY ST,,,19128-3502,210,4,PUD,HANSEN,2679414.9271716,262331.30180795,
289,POINT (-75.128204 39.977907),568665,565240,951905,770021,484210,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE NEW CONSTRUCTION OF AN ATTACHED THREE (3) STORY SINGLE FAMILY DWELLING WITH ROOF DECK ACCESSED BY A PILOTHOUSE AS PER PLAN. SEE A/P #949887 FOR PLANS.,2019-03-01T11:13:21Z,COMPLETED,OWNER,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-12-09T16:18:00Z,313035100,2326 E SUSQUEHANNA AVE,,,19125-2524,160,1,L & M REAL ESTATE DEVELOP,HANSEN,2703154.08728786,245715.54662639,
290,POINT (-75.15549900000001 39.963719),568128,565313,963781,651724,343533,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"ERECTION OF A NEW TWO (2) STORY BUILDING, WITH A ROOF DECK AND A ROOF ACCESS STRUCTURE. FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING AS PER PLANS. STRUCTURE TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13D  ALL WORK TO BE DONE PER APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK.(SEE A/P# 937436 FOR PLAN AND APPLICATION)",2019-04-05T14:16:51Z,COMPLETED,CONTRACTOR,TESTER CONSTRUCTION GROUP LLC,1541 RIDGE AVE,,PHILADELPHIA,PA,19130-    ,2019-10-09T11:17:00Z,141128210,625 N 11TH ST,,,19123-2511,132,5,WP HOMES LLC,HANSEN,2695659.71496101,240323.35355036,
291,POINT (-75.155323 39.964369),597082,593687,947149,651741,396648,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A 2-STORY SINGLE-FAMILY STRUCTURE OF TYPE VA CONSTRUCTION AS PER PLANS. SEPARATE PERMITS REQUIRED FOR ALL MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK.",2019-03-12T14:04:46Z,COMPLETED,APPL,TESTER CONSTRUCTION GROUP LLC,1541 RIDGE AVE,,PHILADELPHIA,PA,19130-    ,2019-11-01T13:38:00Z,141129120,645 N 11TH ST,,,19123-0000,132,5,WP HOMES LLC,HANSEN,2695702.27238913,240561.45579279,
292,POINT (-75.14165300000001 39.978613),578860,577589,1000430,388510,203126,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,NEW THREE STORY SINGLE FAMILY DWELLING WITH ROOF DECK,2019-08-26T13:14:31Z,COMPLETED,DESIGN PROFESSIONAL,QAZIM KUPA,4 COVE CT,,HAINESPORT,NJ,08036-    ,2020-02-03T09:41:00Z,183164300,1817 N LEITHGOW ST,,,19122-2203,156,7,KUPA ADELINA,HANSEN,2699379.08421785,245860.86666013,
293,POINT (-75.161404 39.986252),580364,576559,937304,663007,73532,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE CONSTRUCTION OF AN ATTACHED STRUCTURE FOR USE AS A TWO (2) FAMILY HOUSEHOLD LIVING.WITH A ROOF DECK,ROOF DECK ACCESS STRUCTURE, TWO (2) REAR DECKS. SIZE AND LOCATION AS SHOWN ON PLAN.",2019-01-31T15:53:29Z,COMPLETED,DESIGN PROFESSIONAL,TESTER CONSTRUCTION GROUP LLC,1541 RIDGE AVE,,PHILADELPHIA,PA,19130-    ,2019-08-16T08:32:00Z,321206702,2122 N 17TH ST,,,19121-1629,153,5,COSTANZA PROPERTIES LLC,HANSEN,2693764.7437539,248479.48422576,
294,POINT (-75.154161 39.919656),591107,588045,951064,620419,219195,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE NEW CONSTRUCTION OF AN ATTACHED THREE (3) STORY TWO (2) FAMILY DWELLING WITH ROOF DECK ACCESSED BY A PILOTHOUSE AS PER PLAN.,2019-05-20T11:16:33Z,COMPLETED,CONTRACTOR,AND CONSTRUCTION LLC,9 WHITE HORSE RD E,,VOORHEES,NJ,08043-    ,2019-12-30T13:28:00Z,392161600,400 WOLF ST,,,19148-5711,42.02,1,AND CONSTRUCTION LLC,HANSEN,2696506.54613925,224289.82255031,
295,POINT (-75.213972 39.95281),597298,593699,949197,548338,185674,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,INTERIOR FIT OUT AS PER APPROVED PLANS. SEPARATE PERMIT REQUIRED FOR MEP AND FIRE SUPPRESSION WORK.,2019-02-19T14:01:48Z,COMPLETED,,AXIS CONSTRUCTION MNGMNT LLC,215 W CHURCH ROAD STE 111,,KING OF PRUSSA,PA,19406-    ,2019-10-28T07:58:00Z,881446700,4534-36 SPRUCE ST,,,19139-4525,86.01,3,HIGHTOP SPRUCE LLC,HANSEN,2679390.11823275,235875.06163148,
296,POINT (-75.15233000000001 39.93308),591687,599312,951207,409044,418117,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE CONSTRUCTION OF AN ATTACHED THREE (3) STORY STRUCTURE WITH A ROOF DECK AND ROOF DECK ACCESS STRUCTURE. FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. AS PER PLANS.,2019-02-26T09:36:57Z,COMPLETED,DESIGN PROFESSIONAL,KIERAN COLE CONSTRUCTION INC,211 BRIDGEBORO ROAD,,MOORESTOWN,NJ,08057-    ,2019-12-24T11:59:00Z,021282405,443 MANTON ST,,,19147-5214,25,1,117 LAUREL LLC,HANSEN,2696875.92183265,229192.94862337,
297,POINT (-75.121208 39.986448),578903,576578,940506,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY,  SEMIDETACHED STRUCTURE (SFD - TYPE B, RIGHT CORNER) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T09:40:42Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-10-04T08:24:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
298,POINT (-75.130191 39.976389),596087,593613,931160,769238,1472080,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF A THREE (3) STORY SINGLE FAMILY DWELLING (IRC 2009 TOWNHOUSE CONSTRUCTION) WITH ROOF DECK AND PILOT HOUSE (FOR ACCESS TO ROOF DECK) AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED.    
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2019-01-18T13:54:05Z,COMPLETED,CONTRACTOR,DESIGN BLENDZ HOME SOLUTIONS L,4001 MAIN ST,SUITE 203,PHILADELPHIA,PA,19127-    ,2019-12-13T13:21:00Z,181177000,1527 E MONTGOMERY AVE,,,19125-0000,158,5,BOMAR WILLIAM D II       BOMAR LAURIE ANN,HANSEN,2702613.84561221,245146.02067081,
299,POINT (-75.171138 39.92759),602158,604621,882103,343396,339520,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE NEW CONSTRUCTION / RECONSTRUCTION OF AN ATTACHED THREE (3) STORY SINGLE FAMILY DWELLING ON EXISTING FOUNDATION WITH ROOF DECK ACCESSED BY A PILOTHOUSE, AS PER PLAN, THE PLACEMENT OF UNDERPINNING FOUNDATION PERFORMED UNDER PREVIOUSLY APPROVED ADDITION PERMIT (A/P#826885).",2019-01-16T14:03:02Z,COMPLETED,DESIGN PROFESSIONAL,TREMENDOUS LLC,975 N RANDOLPH ST,,PHILADELPHIA,PA,19123-    ,2019-11-29T08:27:00Z,481171400,1833 S HICKS ST,,,19145-2208,30.01,2,SMOLA WILLIAM C,HANSEN,2691662.2255166,227039.32730395,
300,POINT (-75.11961100000001 39.983043),601348,605957,1006027,578304,231414,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,ERECTION OF A THREE STORY STRUCTURE WITH CELLAR; 2ND & 3RD FLR BAYS; ROOF DECK OVER 3RD STORY PORTION & A STAIR PENT TO ACCESS ROOF DECK FOR USE AS SFD,2019-10-01T15:06:47Z,COMPLETED,DESIGN PROFESSIONAL,TOTA BUILDERS INC,2502 E CLEARFIELD ST,,PHILADELPHIA,PA,19134-    ,2020-03-12T15:55:00Z,311271601,2665 TULIP ST,,,19125-1825,160,1,BECKER DOROTHY R,HANSEN,2705505.54801839,247657.34582031,
301,POINT (-75.18343400000001 39.937573),612698,610659,981019,677296,336543,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE NEW CONSTRUCTION OF AN ATTACHED THREE (3) STORY SINGLE FAMILY DWELLING WITH CELLAR AND ROOF DECK ACCESSED BY A PILOTHOUSE AS PER PLAN.,2019-06-13T13:58:09Z,COMPLETED,APPL,QAZIM KUPA,4 COVE CT,,HAINESPORT,NJ,08036-    ,2019-10-15T09:04:00Z,361366700,1231 S 24TH ST,,,19146-4117,20,2,APPLEGATE CHRISTOPHER    LOCKWOOD ALISON,HANSEN,2688109.33219578,230574.03440032,
302,POINT (-75.066939 40.012238),602525,605028,965116,578675,304711,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,FOR TENANT FITOUT IN SPACE# B7 INCLUDING MINOR ROOF STRUCTURE ALTERATION  AS PER APPROVED PLANS.**SEPARATE PERMITS REQUIRED FOR ANY MEP OR FIRE SUPPRESSION WORK**,2019-05-03T13:34:58Z,COMPLETED,CONTRACTOR,D&S CONSTRUCTION MANAGEMENT LL,328 COLUMBIA AVENUE,,LANSDALE,PA,19446-    ,2019-10-16T15:19:00Z,882058827,5597-99 TULIP ST,,,19124-1600,298,6,PHILADELPHIA-HARBISON LP,HANSEN,2719936.07885812,258731.55125564,
303,POINT (-75.145464 39.9794),603677,604855,930419,413804,476688,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE NEW CONSTRUCTION OF AN ATTACHED THREE (3) STORY TWO (2) FAMILY DWELLING WITH CELLAR AND ROOF DECK ACCESSED BY A PILOTHOUSE AS PER PLAN.,2019-01-28T11:52:44Z,COMPLETED,DESIGN PROFESSIONAL,MGA CONSTRUCTION LLC,424 LAKEVIEW CT,,FEASTERVILLE TREVOSE,PA,19053-    ,2019-09-27T07:53:00Z,201131100,1823 N MARSHALL ST,,,19122-2127,377,5,ORR ALLEN A              ORR ALLISON,HANSEN,2698303.12024111,246115.91350581,
304,POINT (-75.164047 39.985946),605010,603756,722380,116557,318410,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A FOUR STORY BUILDING FOR USE AS A SIX FAMILY DWELLING. BUILDING TO BE FULLY SPRINKLERED. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK.A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 10 FEET OF THE BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE 2009 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.",2019-08-12T12:35:29Z,COMPLETED,APPL,MGA CONSTRUCTION LLC,424 LAKEVIEW CT,,FEASTERVILLE TREVOSE,PA,19053-    ,2019-08-07T07:17:00Z,881146291,1827 DIAMOND ST,,,19121-1530,153,5,1431 POPLAR STREET LIMITE,HANSEN,2693027.77383638,248346.60602916,
305,POINT (-75.11329000000001 39.997687),609183,616143,938741,328567,106962,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A TWO STORY GARAGE STRUCTURE AS PER PLANS. SEPARATE PERMITS REQUIRED FOR ALL MECHANICAL, ELECTRICAL AND PLUMBING WORK.",2019-02-26T13:26:06Z,COMPLETED,CONTRACTOR,TARGET BUILDING CONSTRUCTION,1124 CHESTER PIKE,,CRUM LYNNE,PA,19022-    ,2019-11-12T15:08:00Z,885986200,3222-58 H ST,,,19134-1914,177.01,7,ESPERANZA HEALTH CENTER S,HANSEN,2707116.77456461,253042.34430409,
306,POINT (-75.140106 39.957331),613030,610557,959022,302476,209763,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A (5)-STORY STRUCTURE OF TYPE IIIB CONSTRUCTION FOR A MULTI-FAMILY (8 UNITS) RESIDENCE, W/ PILOT HOUSES & ROOF DECK AND PARKING AT THE GROUND FLOOR AS PER PLANS. SEPARATE PERMITS REQUIRED FOR ALL MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK.",2019-05-24T13:56:13Z,EXPIRED,DESIGN PROFESSIONAL,MOLOTOK LLC,660 WOODSPRING DR,,WARRINGTON,PA,18976-    ,2019-12-16T13:37:00Z,885026760,408-10 N FRONT ST,,,19123-4206,367,1,1833 REALTY LLC,HANSEN,2700041.47645311,238124.321614,
307,POINT (-75.121208 39.986448),626956,632988,940295,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE A) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T08:20:26Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2020-03-09T14:27:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
308,POINT (-75.15508199999999 39.9646),624329,621938,953237,768796,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A TWO (2) STORY ATTACHED STRUCTURE WITH DECK; FOR USE AS A SINGLE FAMILY DWELLING. ENTIRE BUILDING TO BE FULLY SPRINKELRED. SEPARATE PERMIT REQUIRED FOR MEP WORK.
*SEE AP#947125 FOR APPROVED PLANS AND DOCUMENTS",2019-03-12T14:20:45Z,COMPLETED,APPL,TESTER CONSTRUCTION GROUP LLC,1541 RIDGE AVE,,PHILADELPHIA,PA,19130-    ,2019-11-24T12:53:00Z,141119600,656 N WARNOCK ST,,,19123-    ,132,5,PHILADELPHIA LAND BANK,HANSEN,2695767.19546982,240647.45894792,
309,POINT (-75.172805 39.951434),613604,610714,990829,669039,1449040,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,"FOR NEW CONSTRUCTION FIT-OUT OF A GROUP A-3 TENANT (HEALTH CLUB W/ACCESSORY RETAIL SALES) ON THE PARTIAL GROUND FLOOR FACING SANSOM STREET WITHIN AN UNDER-CONSTRUCTION MIXED-USE HIGH-RISE BUILDING, AS PER PLANS; SEPARATE PERMITS REQUIRED FOR ALL MEP/FSP WORK; BUILDING TO BE FULLY SPRINKLERED AS PER NFPA 13; NO WORK WITHIN COMMON AREAS; SEE AP#819389 FOR NEW CONSTRUCTION PERMIT; SEE AP#973642 FOR USE REGISTRATION PERMIT.",2019-08-06T15:31:21Z,COMPLETED,,A BONADUCE INC,1060 HWY 36,,ATLANTIC HIGHLANDS,NJ,07748-    ,2019-11-14T07:43:00Z,881021502,112 S 19TH ST,,,19103-4629,7,5,19R CHESTNUT PARTNERS LP,HANSEN,2690941.35558916,235707.97608025,
310,POINT (-75.178252 39.944665),614033,610496,946878,367139,38118,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION 3 STORY SINGLE FAMILY DWELLING, 3 BEDROOMS, 2.5 BATHROOMS, AND A PILOT HOUSE PER THE SUBMITTED PLANS.",2019-03-04T10:28:19Z,COMPLETED,CONTRACTOR,"MONTEBELLO HOMES, LLC",601 W PROSPECT AVENUE,,NORTH WALES,PA,19454-    ,2019-11-01T09:21:00Z,302016000,2138 KATER ST,,,19146-1215,13,2,TC ACQUISITIONS LLC,HANSEN,2689486.61080801,233198.60580901,
311,POINT (-75.131117 39.988781),613814,610479,942223,731052,528986,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF A FOUR (4) STORY THREE-FAMILY DWELLING WITH A PRIVATE ROOF DECK WITH PILOT HOUSE (ACCESS TO ROOF DECK ONLY) AND REAR DECK AT SECOND LEVEL AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED. 
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF THE BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE 2009 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.",2019-04-04T09:47:49Z,COMPLETED,DESIGN PROFESSIONAL,GREEN TREE GROUP CONTRACTING,203 FARM LANE,,DOYLESTOWN,PA,18901-    ,2019-11-01T14:27:00Z,311011400,2543 N FRONT ST,,,19133-4005,163,7,2547 FRONT STREET HOLDING,HANSEN,2702220.66715899,249650.7493184,
312,POINT (-75.15351800000001 39.92697),614355,610404,931279,602305,163528,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF A THREE STORY TOWNHOUSE WITH ROOF DECK AND PILOTHOUSE AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13D AT MINIMUM. SEPARATE PERMITS REQUIRED FOR M.E.P. AND FIRE SUPPRESSION WORK. CONSTRUCTION SHALL INCLUDE UNDERPINNING.,2019-04-08T11:40:36Z,COMPLETED,RESPONSIBLE COMPANY CONTACT,PB&DC POINT BUILDERS DESIGN,MICHAEL HALLETT,1526 PARRISH STREET  UNIT 3,PHILADELPHIA,PA,19130-    ,2020-03-06T08:49:00Z,011370250,423 WATKINS ST,,,19148-1804,27.01,1,BRAWDEN MANAGEMENT LLC,HANSEN,2696608.52800673,226958.31094819,
313,POINT (-75.147847 39.968854),626850,632984,939571,413523,239824,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FOUND,FOR FOUNDATION PERMIT ONLY. ALL WORK AS PER APPROVED PLANS. SEE PERMIT 938283 FOR PLANS.,2019-01-11T09:41:51Z,COMPLETED,DESIGN PROFESSIONAL,HYBAR CONSTRUCTION LLC,706 SOUTH AMERICAN STREET,,PHILADELPHIA,PA,19147-    ,2019-08-26T10:15:00Z,871084500,966 N MARSHALL ST,,,19123-1307,141,5,JOHNSON BENJAMIN HOWARD,HANSEN,2697748.63939516,242256.14761654,
314,POINT (-75.121208 39.986448),632828,627443,940294,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE A) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T08:17:12Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-11-12T08:29:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
315,POINT (-75.181996 39.976013),633031,626811,816186,764794,1453847,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF A FOUR (4) STORY SIX-FAMILY DWELLING WITH TWO (2) PRIVATE ROOF DECKS WITH TWO (2) PILOT HOUSES (ACCESS TO ROOF DECKS ONLY) AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED. WORK TO INCLUDE UNDERPINNING TO BE MONITORED BY A PA LICENSED PE AT ALL TIMES.  
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2019-03-07T10:02:32Z,COMPLETED,DESIGN PROFESSIONAL,ELIOENAI CONSTRUCTION INC,1128 BRIGHTON ST,,PHILADELPHIA,PA,19111-    ,2019-09-13T10:45:00Z,881070225,1265 N NEWKIRK ST,,,19121-4526,137,5,VLMI LLC,HANSEN,2688105.4084846,244582.93271508,
316,POINT (-75.12176599999999 39.985394),637350,638671,946265000,768499,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION OF A THREE-STORY STRUCTURE WITH CELLAR, ROOF DECK AND ROOF-DECK ACCESS STRUCTURE FOR USE AS A SINGLE-FAMILY HOUSEHOLD LIVING.  SIZE AND LOCATION AS PER APPROVED PLANS.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13D MINIMUM.  SEPERATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION.",2019-03-11T13:53:00Z,COMPLETED,,JOSEPH P JACQUINTO,4594 BAKER ST,,PHILADELPHIA,PA,19127-    ,2020-02-19T07:06:00Z,311204002,2667 COLLINS ST,,,19125-    ,161,1,HORIZON PROPERTY JJ LLC,HANSEN,2704876.53818845,248495.32900673,
317,POINT (-75.131508 39.983498),633077,627583,967923,135811,189580,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE CONSTRUCTION OF A THREE (3) STORY ATTACHED STRUCTURE WITH CELLAR AND ROOF DECK WITH PILOT HOUSE (FOR ACCESS TO ROOF DECK ONLY). FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. AS PER PLANS.,2019-04-26T12:51:08Z,COMPLETED,DESIGN PROFESSIONAL,OWL CONSTRUCTION SERVICES LLC,4208 DISSTON ST,,PHILADELPHIA,PA,19135-    ,2019-12-20T13:49:00Z,311078200,2237 EMERALD ST,,,19125-1538,161,7,IRA DEVELOPMENT LLC,HANSEN,2702168.21981453,247723.7451892,
318,POINT (-75.09883000000001 39.985355),637082,638522,923287,523596,151684,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF A THREE (3) STORY SINGLE FAMILY DWELLING WITH ROOF DECK, PILOT HOUSE (ACCESS TO ROOF DECKS ONLY) AND ONE (1) OPEN-AIR PARKING SPACE AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED. *WORK TO INCLUDE UNDERPINNING TO BE MONITORED BY PA LICENSED PE AT ALL TIMES* 
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2019-01-15T12:49:13Z,COMPLETED,,PAIZ CONSTRUCTION,1127 UNRUH AVE,,PHILADELPHIA,PA,19111-    ,2019-12-23T08:26:00Z,451181902,3330 SALMON ST,,,19134-5931,379,6,3330 SALMON ST LLC,HANSEN,2711301.05034476,248673.20532497,
319,POINT (-75.207998 39.960513),651990,644522,983056,336165,417322,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR AN INSTALLATION OF AN AIR-SUPPORTED STRUCTURE ON EXISTING TENNIS COURTS TO CREATE A TEMPORARY (SEASONAL) CLIMATE-CONTROLLED INDOOR ENVIRONMENT FOR UNIVERSITY ATHLETIC PROGRAMS. STRUCTURE TO BE IN PLACE LESS THAN SIX (6) MONTHS AND REINSTALLED ANNUALLY FOR THE WINTER SEASON. MUST COMPLY WITH REQUIREMENTS OF CHAPTER 24 OF THE PHILADELPHIA FIRE CODE.,2019-06-18T09:44:14Z,COMPLETED,,P AGNES INC,2101 PENROSE AVE,,PHILADELPHIA,PA,19145-5623,2019-11-12T14:06:00Z,774520000,4200-38 HAVERFORD AVE,,,19104-1400,92,3,DREXEL INSTITUTE         OF TECHNOLOGY,HANSEN,2680983.64780104,238728.14359673,
